Director,Production,User,Genre,Rank
Coen,Disney,M,Horror,2
Del Toro,Disney,F,Action,2
Coen,Warner,F,Horror,1
Del Toro,Universal,M,Drama,1
Coen,Universal,M,Horror,3
Del Toro,Warner,M,Horror,1
Coen,Warner,F,Drama,2
Del Toro,Disney,F,Action,2
Buñuel,Warner,M,Action,3
Buñuel,Disney,M,Drama,2
Coen,Disney,M,Action,1
Buñuel,Universal,F,Action,3
Del Toro,Universal,M,Horror,1
Buñuel,Warner,F,Horror,2
Del Toro,Universal,F,Action,1
Del Toro,Warner,F,Drama,3
Del Toro,Disney,F,Drama,3
Buñuel,Warner,M,Drama,2
Buñuel,Disney,M,Drama,2
Coen,Warner,F,Drama,3
Coen,Universal,F,Horror,3
Buñuel,Universal,F,Action,1
Coen,Disney,F,Drama,3
Buñuel,Disney,M,Drama,1
Buñuel,Disney,M,Drama,2
Buñuel,Disney,M,Horror,1
Del Toro,Warner,M,Horror,2
Del Toro,Disney,F,Action,3
Buñuel,Universal,M,Drama,2
Coen,Universal,F,Horror,3
Coen,Warner,M,Drama,2
Coen,Universal,F,Horror,1
Coen,Disney,F,Horror,2
Del Toro,Disney,F,Horror,3
Buñuel,Universal,M,Drama,3
Coen,Warner,M,Action,1
Buñuel,Warner,M,Drama,3
Coen,Disney,F,Horror,3
Coen,Warner,M,Drama,1
Coen,Warner,F,Drama,3
Del Toro,Warner,F,Horror,1
Del Toro,Universal,F,Drama,1
Coen,Disney,F,Drama,2
Buñuel,Disney,M,Action,3
Coen,Warner,M,Horror,2
Coen,Universal,F,Drama,3
Coen,Universal,F,Horror,3
Del Toro,Disney,F,Action,3
Coen,Universal,M,Drama,2
Del Toro,Warner,M,Drama,3
Del Toro,Warner,F,Action,3
Del Toro,Disney,M,Action,1
Del Toro,Disney,M,Action,1
Coen,Disney,F,Horror,3
Coen,Disney,F,Horror,1
Del Toro,Warner,F,Drama,3
Coen,Warner,M,Action,3
Del Toro,Disney,F,Action,1
Coen,Universal,F,Drama,2
Coen,Warner,M,Action,1
Buñuel,Disney,F,Drama,2
Del Toro,Warner,F,Action,1
Del Toro,Warner,M,Action,3
Coen,Universal,M,Drama,1
Coen,Disney,F,Action,1
Buñuel,Disney,F,Action,2
Buñuel,Disney,M,Horror,3
Del Toro,Warner,F,Action,1
Buñuel,Warner,F,Action,3
Coen,Disney,F,Drama,3
Del Toro,Disney,M,Action,1
Del Toro,Disney,M,Horror,3
Del Toro,Universal,M,Action,2
Buñuel,Warner,M,Action,1
Del Toro,Disney,F,Horror,2
Del Toro,Warner,M,Horror,3
Coen,Disney,M,Horror,1
Coen,Universal,F,Drama,1
Coen,Disney,M,Horror,1
Coen,Disney,F,Drama,1
Del Toro,Warner,F,Action,1
Del Toro,Universal,F,Horror,1
Del Toro,Disney,F,Horror,2
Buñuel,Universal,M,Horror,2
Buñuel,Warner,F,Drama,3
Coen,Warner,F,Horror,1
Coen,Warner,M,Drama,3
Coen,Warner,M,Horror,3
Buñuel,Disney,F,Drama,1
Coen,Warner,F,Horror,3
Del Toro,Disney,M,Drama,3
Coen,Warner,F,Action,3
Coen,Warner,F,Horror,3
Del Toro,Warner,F,Action,3
Buñuel,Warner,F,Action,2
Buñuel,Warner,M,Horror,2
Buñuel,Disney,M,Drama,1
Coen,Warner,M,Drama,2
Del Toro,Universal,M,Horror,1
Coen,Warner,F,Drama,3
Del Toro,Universal,F,Drama,3
Buñuel,Disney,F,Horror,2
Del Toro,Disney,F,Drama,3
Del Toro,Warner,F,Action,1
Coen,Universal,F,Action,1
Coen,Universal,F,Action,3
Del Toro,Universal,F,Drama,1
Del Toro,Universal,M,Drama,1
Del Toro,Warner,M,Action,3
Buñuel,Warner,F,Action,3
Del Toro,Warner,M,Horror,1
Buñuel,Warner,M,Horror,1
Coen,Disney,F,Drama,1
Buñuel,Warner,F,Horror,3
Del Toro,Universal,F,Drama,3
Del Toro,Warner,M,Horror,3
Coen,Warner,F,Action,2
Coen,Disney,M,Horror,1
Coen,Warner,M,Horror,3
Buñuel,Disney,F,Action,2
Del Toro,Universal,M,Horror,1
Del Toro,Disney,F,Drama,3
Del Toro,Warner,M,Action,1
Buñuel,Disney,M,Action,3
Del Toro,Universal,M,Drama,1
Buñuel,Universal,F,Horror,1
Del Toro,Universal,F,Horror,2
Del Toro,Warner,M,Horror,2
Coen,Disney,M,Drama,1
Coen,Warner,F,Action,2
Buñuel,Disney,F,Drama,1
Coen,Universal,F,Drama,3
Buñuel,Universal,M,Action,2
Del Toro,Universal,M,Drama,1
Del Toro,Disney,F,Action,1
Buñuel,Warner,M,Drama,3
Coen,Warner,M,Drama,3
Buñuel,Universal,M,Action,2
Del Toro,Universal,F,Horror,2
Buñuel,Universal,M,Horror,3
Coen,Disney,F,Drama,2
Coen,Disney,F,Horror,3
Del Toro,Disney,M,Drama,2
Buñuel,Disney,M,Action,1
Buñuel,Warner,M,Horror,2
Del Toro,Universal,M,Horror,2
Coen,Disney,M,Horror,1
Coen,Universal,M,Horror,3
Del Toro,Universal,F,Drama,2
Coen,Disney,F,Drama,1
Del Toro,Warner,M,Horror,3
Coen,Universal,M,Horror,1
Buñuel,Disney,M,Action,3
Del Toro,Universal,M,Action,1
Buñuel,Universal,M,Drama,2
Del Toro,Warner,F,Horror,3
Coen,Warner,F,Horror,2
Coen,Disney,M,Drama,3
Del Toro,Universal,F,Action,2
Coen,Disney,M,Horror,3
Coen,Warner,F,Horror,1
Buñuel,Warner,M,Action,2
Buñuel,Disney,M,Drama,2
Buñuel,Warner,F,Drama,2
Coen,Disney,F,Horror,1
Del Toro,Warner,F,Horror,3
Buñuel,Universal,F,Drama,1
Del Toro,Warner,M,Horror,2
Coen,Universal,F,Action,2
Del Toro,Warner,F,Drama,3
Del Toro,Disney,F,Action,1
Buñuel,Warner,F,Drama,2
Buñuel,Universal,M,Horror,1
Buñuel,Universal,M,Drama,2
Del Toro,Universal,M,Drama,3
Buñuel,Warner,F,Action,2
Coen,Universal,F,Horror,3
Buñuel,Warner,F,Action,1
Buñuel,Warner,M,Horror,3
Del Toro,Disney,F,Action,2
Buñuel,Warner,F,Horror,1
Coen,Disney,F,Drama,1
Coen,Disney,M,Action,3
Del Toro,Disney,M,Horror,2
Del Toro,Universal,F,Action,1
Buñuel,Universal,M,Action,2
Coen,Disney,F,Action,1
Coen,Disney,F,Action,1
Coen,Universal,M,Drama,3
Buñuel,Warner,F,Drama,3
Buñuel,Universal,M,Drama,3
Coen,Universal,F,Horror,1
Buñuel,Universal,F,Horror,3
Del Toro,Disney,M,Action,2
Del Toro,Universal,F,Horror,1
Del Toro,Universal,M,Horror,3
Del Toro,Universal,F,Horror,2
Del Toro,Universal,M,Horror,3
Del Toro,Universal,F,Horror,3
Del Toro,Disney,M,Drama,2
Buñuel,Universal,F,Action,3
Buñuel,Universal,F,Action,2
Del Toro,Universal,F,Drama,1
Buñuel,Disney,M,Horror,1
Del Toro,Disney,F,Drama,2
Buñuel,Universal,F,Drama,1
Del Toro,Universal,F,Drama,3
Coen,Disney,M,Drama,3
Buñuel,Universal,M,Horror,3
Coen,Universal,M,Action,3
Coen,Universal,F,Action,2
Buñuel,Disney,M,Horror,2
Coen,Universal,F,Horror,1
Buñuel,Warner,F,Drama,2
Del Toro,Disney,M,Horror,2
Del Toro,Disney,F,Drama,3
Coen,Universal,F,Drama,3
Coen,Universal,M,Action,2
Buñuel,Universal,F,Action,1
Buñuel,Warner,M,Horror,2
Coen,Warner,F,Drama,1
Coen,Universal,F,Drama,2
Buñuel,Warner,M,Horror,3
Del Toro,Universal,F,Horror,1
Coen,Warner,M,Horror,2
Buñuel,Disney,M,Horror,2
Buñuel,Universal,M,Horror,1
Del Toro,Universal,M,Drama,1
Buñuel,Disney,M,Horror,3
Coen,Universal,F,Drama,1
Del Toro,Universal,M,Drama,1
Del Toro,Disney,M,Horror,2
Buñuel,Warner,M,Horror,3
Del Toro,Universal,F,Drama,1
Del Toro,Warner,M,Action,2
Coen,Universal,F,Action,3
Coen,Universal,F,Drama,3
Coen,Disney,M,Drama,1
Coen,Universal,F,Action,3
Del Toro,Disney,M,Action,3
Buñuel,Universal,M,Drama,2
Coen,Universal,M,Action,3
Del Toro,Universal,F,Drama,2
Buñuel,Disney,M,Drama,2
Buñuel,Warner,F,Horror,3
Del Toro,Warner,M,Horror,1
Coen,Universal,M,Drama,1
Buñuel,Warner,F,Drama,2
Buñuel,Disney,M,Drama,1
Coen,Universal,F,Action,3
Coen,Universal,F,Action,1
Del Toro,Universal,M,Action,2
Del Toro,Universal,F,Horror,2
Buñuel,Disney,F,Action,1
Buñuel,Universal,M,Action,3
Buñuel,Disney,M,Drama,2
Del Toro,Disney,M,Action,2
Del Toro,Warner,F,Drama,2
Buñuel,Warner,M,Horror,3
Del Toro,Warner,F,Horror,3
Coen,Universal,M,Horror,2
Buñuel,Disney,M,Action,3
Coen,Warner,F,Horror,1
Del Toro,Universal,M,Drama,2
Buñuel,Disney,M,Action,1
Del Toro,Warner,F,Drama,2
Coen,Disney,M,Action,2
Del Toro,Warner,M,Drama,1
Coen,Warner,F,Action,3
Buñuel,Disney,F,Action,2
Del Toro,Disney,M,Drama,3
Buñuel,Disney,F,Drama,2
Coen,Warner,M,Action,3
Del Toro,Universal,F,Action,3
Buñuel,Universal,M,Drama,2
Del Toro,Warner,M,Action,1
Coen,Disney,M,Horror,1
Del Toro,Universal,F,Horror,3
Coen,Warner,M,Horror,2
Coen,Disney,F,Horror,2
Buñuel,Warner,M,Horror,1
Buñuel,Disney,M,Drama,2
Buñuel,Warner,M,Action,1
Del Toro,Universal,F,Action,2
Coen,Universal,F,Action,3
Coen,Warner,F,Horror,3
Buñuel,Universal,M,Horror,1
Buñuel,Warner,F,Action,1
Del Toro,Disney,M,Horror,1
Buñuel,Universal,M,Drama,3
Coen,Warner,F,Action,3
Coen,Disney,F,Horror,2
Del Toro,Disney,M,Horror,3
Coen,Disney,M,Horror,1
Coen,Universal,M,Drama,3
Coen,Warner,F,Horror,1
Coen,Disney,F,Drama,3
Buñuel,Universal,M,Drama,1
Buñuel,Disney,M,Horror,2
Coen,Disney,F,Action,3
Buñuel,Disney,F,Drama,1
Del Toro,Disney,M,Horror,2
Del Toro,Universal,M,Action,1
Coen,Disney,M,Drama,1
Del Toro,Universal,F,Horror,2
Coen,Disney,F,Action,3
Coen,Warner,F,Action,1
Coen,Universal,M,Action,2
Coen,Disney,F,Action,1
Buñuel,Disney,F,Horror,2
Del Toro,Disney,M,Action,1
Buñuel,Warner,F,Drama,2
Del Toro,Universal,M,Action,2
Buñuel,Universal,F,Horror,2
Del Toro,Disney,F,Horror,1
Del Toro,Warner,M,Horror,3
Coen,Warner,F,Horror,1
Buñuel,Warner,M,Drama,3
Del Toro,Disney,F,Drama,3
Coen,Disney,M,Horror,2
Coen,Warner,F,Action,1
Buñuel,Warner,F,Drama,1
Del Toro,Warner,M,Drama,2
Buñuel,Warner,F,Horror,2
Coen,Disney,F,Drama,3
Coen,Warner,M,Drama,1
Del Toro,Warner,F,Horror,1
Coen,Disney,M,Horror,2
Del Toro,Warner,M,Action,1
Buñuel,Disney,F,Action,2
Del Toro,Universal,F,Action,3
Del Toro,Disney,F,Drama,2
Buñuel,Warner,F,Horror,1
Coen,Universal,F,Drama,2
Buñuel,Universal,F,Drama,1
Coen,Disney,F,Drama,1
Del Toro,Warner,F,Horror,3
Buñuel,Disney,M,Horror,1
Buñuel,Universal,M,Action,3
Del Toro,Universal,M,Action,3
Del Toro,Warner,M,Action,3
Coen,Warner,F,Horror,3
Buñuel,Universal,F,Action,3
Coen,Disney,M,Action,1
Coen,Warner,F,Horror,3
Buñuel,Universal,M,Action,1
Buñuel,Disney,F,Drama,1
Buñuel,Warner,F,Horror,1
Del Toro,Warner,M,Action,2
Buñuel,Warner,F,Drama,1
Del Toro,Warner,F,Horror,2
Coen,Disney,F,Horror,1
Del Toro,Disney,M,Action,1
Buñuel,Universal,F,Action,3
Del Toro,Universal,M,Action,3
Coen,Disney,M,Drama,2
Buñuel,Warner,M,Drama,3
Del Toro,Universal,M,Action,2
Coen,Disney,M,Drama,1
Coen,Universal,F,Action,2
Buñuel,Warner,M,Drama,1
Coen,Universal,F,Action,1
Buñuel,Disney,M,Drama,2
Coen,Universal,M,Horror,1
Del Toro,Disney,F,Horror,1
Coen,Disney,M,Drama,1
Buñuel,Disney,M,Horror,1
Coen,Universal,F,Drama,3
Coen,Disney,M,Drama,3
Buñuel,Disney,F,Horror,1
Coen,Disney,F,Action,3
Buñuel,Universal,M,Action,2
Coen,Universal,M,Drama,2
Buñuel,Warner,F,Drama,2
Coen,Disney,F,Action,2
Buñuel,Disney,M,Horror,2
Coen,Disney,M,Action,3
Del Toro,Disney,M,Action,1
Coen,Disney,M,Action,3
Coen,Warner,F,Action,3
Buñuel,Disney,F,Drama,3
Del Toro,Universal,F,Horror,2
Coen,Warner,M,Horror,1
Del Toro,Universal,M,Horror,3
Del Toro,Warner,F,Horror,1
Del Toro,Universal,F,Drama,1
Del Toro,Universal,M,Action,3
Del Toro,Disney,F,Action,1
Coen,Universal,F,Action,3
Del Toro,Universal,M,Horror,3
Buñuel,Disney,F,Horror,3
Buñuel,Universal,M,Drama,2
Buñuel,Universal,F,Action,1
Coen,Universal,M,Action,2
Coen,Universal,M,Horror,1
Del Toro,Universal,F,Horror,2
Coen,Universal,M,Action,1
Del Toro,Universal,F,Horror,2
Coen,Warner,M,Drama,3
Del Toro,Warner,M,Action,3
Buñuel,Universal,F,Action,1
Buñuel,Warner,M,Action,3
Del Toro,Universal,M,Action,2
Coen,Universal,F,Drama,2
Coen,Warner,F,Drama,1
Del Toro,Warner,M,Action,2
Coen,Warner,M,Action,2
Del Toro,Warner,F,Action,3
Coen,Warner,F,Horror,2
Buñuel,Warner,M,Action,3
Buñuel,Disney,F,Action,1
Del Toro,Warner,M,Action,3
Del Toro,Warner,F,Action,1
Coen,Universal,M,Drama,1
Del Toro,Universal,F,Action,3
Buñuel,Warner,F,Drama,2
Coen,Universal,M,Action,1
Del Toro,Disney,F,Action,2
Coen,Disney,F,Horror,1
Coen,Universal,F,Horror,2
Coen,Universal,M,Drama,3
Buñuel,Universal,F,Action,2
Del Toro,Warner,M,Horror,2
Del Toro,Universal,M,Horror,1
Buñuel,Warner,F,Action,3
Coen,Universal,F,Action,2
Coen,Disney,F,Action,3
Buñuel,Disney,M,Drama,1
Del Toro,Disney,F,Action,1
Coen,Disney,M,Action,2
Buñuel,Disney,M,Action,1
Coen,Universal,F,Drama,2
Del Toro,Warner,M,Action,1
Del Toro,Disney,F,Horror,2
Buñuel,Disney,M,Action,1
Del Toro,Disney,F,Action,2
Del Toro,Universal,M,Action,2
Coen,Universal,F,Action,1
Del Toro,Universal,F,Drama,2
Del Toro,Warner,M,Horror,1
Del Toro,Universal,F,Action,3
Buñuel,Warner,F,Action,1
Del Toro,Warner,F,Drama,3
Del Toro,Warner,M,Action,1
Buñuel,Universal,M,Action,2
Del Toro,Warner,M,Drama,2
Del Toro,Universal,M,Horror,3
Coen,Disney,F,Drama,2
Del Toro,Universal,F,Horror,2
Coen,Universal,F,Drama,1
Buñuel,Warner,M,Action,1
Del Toro,Disney,M,Action,1
Coen,Disney,F,Horror,2
Buñuel,Universal,M,Drama,2
Coen,Disney,F,Drama,3
Coen,Warner,F,Horror,2
Coen,Disney,M,Horror,2
Del Toro,Universal,F,Horror,2
Buñuel,Disney,F,Horror,3
Coen,Universal,M,Horror,3
Del Toro,Disney,M,Horror,1
Buñuel,Universal,M,Horror,3
Buñuel,Warner,M,Horror,1
Coen,Warner,M,Drama,1
Coen,Universal,M,Drama,2
Buñuel,Disney,M,Drama,2
Coen,Disney,M,Action,1
Coen,Universal,M,Action,3
Buñuel,Warner,M,Action,2
Del Toro,Warner,M,Action,3
Buñuel,Universal,F,Horror,2
Del Toro,Warner,F,Horror,3
Del Toro,Disney,F,Horror,3
Del Toro,Universal,M,Drama,2
Buñuel,Disney,M,Action,3
Buñuel,Warner,F,Action,1
Coen,Warner,M,Horror,3
Del Toro,Universal,M,Horror,2
Del Toro,Warner,M,Action,1
Del Toro,Universal,F,Drama,2
Buñuel,Universal,M,Horror,2
Del Toro,Disney,F,Horror,3
Coen,Universal,M,Action,1
Buñuel,Disney,F,Action,2
Del Toro,Disney,F,Drama,1
Del Toro,Warner,M,Drama,2
Del Toro,Disney,M,Drama,3
Coen,Warner,F,Action,1
Del Toro,Universal,M,Action,3
Buñuel,Warner,F,Drama,1
Del Toro,Universal,M,Drama,1
Del Toro,Universal,F,Drama,1
Buñuel,Disney,M,Action,3
Buñuel,Warner,F,Drama,1
Buñuel,Universal,F,Action,2
Buñuel,Disney,M,Drama,2
Buñuel,Universal,M,Drama,1
Buñuel,Universal,M,Drama,1
Coen,Disney,F,Horror,2
Del Toro,Universal,M,Drama,2
Buñuel,Disney,M,Horror,3
Buñuel,Disney,F,Action,2
Del Toro,Universal,F,Drama,3
Coen,Universal,F,Action,1
Del Toro,Warner,F,Drama,3
Coen,Universal,M,Action,3
Coen,Warner,M,Action,1
Buñuel,Warner,F,Horror,1
Coen,Disney,M,Drama,1
Coen,Disney,F,Action,1
Buñuel,Universal,F,Action,1
Del Toro,Warner,M,Action,1
Buñuel,Universal,M,Horror,1
Del Toro,Universal,M,Action,3
Del Toro,Disney,M,Action,2
Buñuel,Disney,F,Drama,2
Del Toro,Disney,F,Action,2
Del Toro,Universal,M,Drama,2
Del Toro,Warner,F,Horror,3
Coen,Disney,M,Horror,1
Coen,Warner,M,Horror,3
Del Toro,Universal,M,Drama,3
Del Toro,Disney,F,Drama,1
Del Toro,Warner,F,Action,3
Del Toro,Disney,M,Action,1
Del Toro,Universal,F,Action,2
Del Toro,Disney,M,Action,2
Coen,Universal,M,Action,3
Buñuel,Disney,M,Horror,2
Del Toro,Universal,M,Horror,2
Coen,Universal,M,Action,2
Del Toro,Universal,F,Action,1
Del Toro,Universal,F,Drama,3
Del Toro,Universal,F,Horror,3
Buñuel,Warner,M,Drama,3
Del Toro,Universal,M,Horror,1
Del Toro,Warner,F,Horror,1
Coen,Universal,F,Horror,2
Del Toro,Universal,M,Drama,3
Buñuel,Universal,M,Drama,3
Coen,Universal,M,Drama,3
Coen,Warner,F,Drama,3
Buñuel,Warner,M,Drama,3
Coen,Warner,F,Horror,2
Coen,Universal,F,Drama,3
Coen,Warner,M,Horror,2
Buñuel,Universal,F,Action,2
Del Toro,Disney,M,Drama,1
Buñuel,Disney,M,Horror,2
Buñuel,Universal,F,Horror,1
Del Toro,Disney,F,Horror,3
Del Toro,Universal,F,Drama,3
Coen,Disney,F,Horror,1
Coen,Warner,F,Drama,1
Coen,Disney,M,Horror,1
Del Toro,Disney,F,Action,2
Buñuel,Warner,M,Action,3
Del Toro,Disney,M,Drama,2
Buñuel,Disney,F,Drama,1
Buñuel,Warner,M,Drama,2
Coen,Disney,M,Horror,1
Del Toro,Warner,F,Horror,3
Buñuel,Universal,F,Action,2
Buñuel,Warner,F,Action,1
Buñuel,Disney,M,Horror,1
Del Toro,Warner,M,Drama,1
Coen,Universal,M,Drama,2
Coen,Warner,F,Horror,1
Buñuel,Disney,M,Horror,1
Del Toro,Universal,F,Action,1
Coen,Warner,F,Drama,1
Coen,Warner,F,Drama,1
Buñuel,Warner,F,Drama,1
Del Toro,Universal,M,Horror,2
Coen,Universal,F,Horror,3
Coen,Warner,F,Horror,2
Coen,Universal,F,Action,2
Del Toro,Disney,F,Horror,3
Del Toro,Universal,M,Horror,1
Coen,Warner,F,Drama,3
Coen,Universal,F,Horror,2
Coen,Disney,M,Action,1
Coen,Warner,F,Action,2
Buñuel,Disney,M,Action,1
Coen,Disney,F,Drama,1
Coen,Warner,M,Action,1
Del Toro,Disney,F,Action,2
Buñuel,Disney,M,Action,1
Del Toro,Universal,M,Horror,1
Coen,Disney,F,Action,1
Buñuel,Universal,M,Action,1
Del Toro,Warner,F,Horror,3
Buñuel,Disney,M,Horror,1
Buñuel,Universal,F,Drama,2
Del Toro,Warner,F,Action,3
Del Toro,Disney,F,Drama,1
Del Toro,Universal,M,Action,1
Coen,Warner,M,Action,1
Buñuel,Disney,M,Drama,1
Buñuel,Universal,M,Drama,1
Del Toro,Universal,M,Action,1
Coen,Disney,M,Action,2
Buñuel,Universal,F,Horror,2
Del Toro,Warner,M,Drama,1
Buñuel,Warner,M,Drama,2
Coen,Warner,F,Action,2
Coen,Warner,M,Drama,2
Del Toro,Disney,M,Horror,2
Coen,Warner,F,Horror,3
Buñuel,Disney,F,Action,3
Del Toro,Warner,F,Action,2
Del Toro,Universal,M,Horror,1
Coen,Warner,M,Drama,1
Del Toro,Warner,M,Drama,3
Del Toro,Disney,M,Action,2
Coen,Universal,F,Horror,3
Del Toro,Warner,M,Drama,1
Buñuel,Disney,F,Drama,1
Buñuel,Universal,F,Horror,3
Del Toro,Disney,M,Horror,1
Del Toro,Warner,F,Action,3
Del Toro,Warner,M,Horror,2
Del Toro,Universal,F,Action,2
Buñuel,Universal,M,Action,2
Buñuel,Disney,M,Drama,3
Buñuel,Disney,M,Drama,1
Del Toro,Universal,F,Drama,1
Buñuel,Warner,M,Action,2
Del Toro,Universal,F,Action,1
Buñuel,Warner,F,Action,2
Buñuel,Universal,M,Horror,2
Del Toro,Universal,F,Action,1
Coen,Disney,F,Horror,2
Coen,Disney,M,Action,1
Buñuel,Disney,M,Horror,1
Buñuel,Universal,M,Horror,1
Coen,Universal,F,Horror,2
Buñuel,Warner,M,Drama,1
Buñuel,Warner,M,Horror,3
Buñuel,Warner,M,Horror,3
Buñuel,Universal,F,Horror,2
Del Toro,Disney,F,Drama,1
Buñuel,Warner,F,Action,3
Coen,Warner,F,Action,3
Buñuel,Universal,M,Drama,1
Coen,Disney,M,Drama,2
Coen,Universal,M,Drama,2
Del Toro,Disney,M,Horror,1
Coen,Disney,F,Drama,3
Del Toro,Universal,F,Action,3
Del Toro,Warner,M,Horror,3
Del Toro,Disney,M,Action,2
Del Toro,Disney,M,Horror,3
Buñuel,Universal,M,Action,3
Coen,Universal,F,Action,2
Coen,Universal,F,Drama,2
Buñuel,Universal,F,Drama,2
Buñuel,Universal,F,Action,1
Buñuel,Warner,F,Action,3
Del Toro,Warner,M,Drama,1
Buñuel,Warner,M,Drama,3
Buñuel,Disney,M,Drama,3
Coen,Universal,M,Action,3
Coen,Universal,F,Drama,2
Buñuel,Universal,F,Action,2
Del Toro,Disney,F,Horror,2
Coen,Warner,F,Horror,1
Del Toro,Warner,M,Action,3
Coen,Disney,M,Action,3
Del Toro,Disney,M,Action,3
Coen,Warner,M,Drama,1
Buñuel,Warner,M,Drama,1
Buñuel,Disney,M,Drama,2
Del Toro,Disney,M,Action,1
Del Toro,Disney,M,Action,2
Coen,Universal,F,Horror,2
Del Toro,Universal,F,Drama,1
Coen,Disney,M,Action,3
Del Toro,Universal,M,Drama,2
Buñuel,Warner,M,Horror,1
Del Toro,Disney,M,Action,1
Buñuel,Warner,M,Action,3
Buñuel,Universal,F,Drama,2
Buñuel,Warner,F,Action,1
Del Toro,Universal,F,Horror,1
Buñuel,Warner,M,Drama,1
Coen,Warner,F,Action,1
Del Toro,Disney,M,Horror,3
Buñuel,Universal,F,Drama,2
Buñuel,Warner,F,Horror,3
Del Toro,Disney,F,Drama,1
Coen,Warner,F,Action,3
Buñuel,Disney,M,Drama,2
Buñuel,Universal,F,Drama,2
Coen,Warner,F,Action,1
Coen,Warner,M,Horror,1
Coen,Disney,M,Horror,1
Del Toro,Disney,M,Drama,2
Del Toro,Universal,F,Action,3
Coen,Warner,F,Action,2
Del Toro,Warner,M,Drama,2
Del Toro,Universal,F,Drama,3
Buñuel,Warner,F,Drama,2
Coen,Warner,F,Action,2
Coen,Disney,F,Drama,2
Coen,Universal,F,Drama,2
Del Toro,Universal,M,Drama,3
Buñuel,Universal,F,Action,1
Del Toro,Universal,M,Action,1
Buñuel,Disney,M,Drama,3
Buñuel,Universal,F,Action,3
Buñuel,Warner,M,Horror,3
Buñuel,Universal,M,Drama,3
Buñuel,Warner,M,Horror,1
Coen,Warner,F,Drama,3
Coen,Universal,M,Action,3
Del Toro,Universal,F,Action,3
Coen,Disney,F,Drama,1
Coen,Disney,F,Action,2
Del Toro,Universal,M,Drama,2
Coen,Universal,F,Drama,3
Buñuel,Disney,M,Action,1
Del Toro,Disney,M,Action,3
Buñuel,Disney,F,Drama,3
Coen,Disney,M,Horror,3
Del Toro,Warner,F,Drama,3
Buñuel,Warner,M,Action,2
Coen,Warner,M,Horror,1
Coen,Disney,F,Drama,2
Del Toro,Warner,F,Horror,3
Coen,Disney,F,Horror,1
Coen,Disney,M,Horror,3
Buñuel,Disney,M,Drama,1
Coen,Universal,F,Action,3
Del Toro,Warner,M,Horror,2
Del Toro,Disney,F,Horror,2
Coen,Disney,M,Action,1
Del Toro,Universal,F,Action,1
Del Toro,Warner,M,Horror,1
Del Toro,Universal,F,Action,3
Coen,Disney,M,Horror,3
Coen,Disney,F,Horror,3
Del Toro,Universal,F,Horror,1
Del Toro,Universal,F,Horror,1
Coen,Disney,M,Horror,2
Buñuel,Warner,F,Horror,3
Del Toro,Disney,F,Drama,3
Buñuel,Warner,F,Action,3
Buñuel,Universal,M,Horror,1
Coen,Disney,M,Action,2
Buñuel,Warner,F,Horror,2
Buñuel,Disney,F,Action,3
Buñuel,Disney,M,Horror,3
Del Toro,Disney,F,Drama,3
Buñuel,Warner,M,Action,2
Del Toro,Disney,M,Horror,3
Coen,Universal,F,Horror,1
Del Toro,Warner,M,Drama,3
Buñuel,Warner,F,Drama,1
Del Toro,Warner,M,Action,1
Buñuel,Warner,F,Action,2
Coen,Disney,M,Horror,1
Del Toro,Disney,F,Drama,3
Coen,Warner,M,Drama,2
Buñuel,Universal,F,Drama,2
Del Toro,Warner,F,Action,2
Buñuel,Universal,F,Action,3
Coen,Disney,F,Horror,2
Buñuel,Disney,F,Action,3
Coen,Disney,M,Action,3
Buñuel,Disney,F,Horror,2
Coen,Disney,F,Horror,1
Del Toro,Warner,F,Action,1
Del Toro,Warner,F,Drama,3
Buñuel,Universal,F,Horror,3
Del Toro,Disney,M,Action,2
Coen,Disney,M,Drama,2
Del Toro,Disney,M,Action,3
Coen,Warner,F,Horror,2
Coen,Warner,M,Action,1
Buñuel,Warner,M,Drama,2
Coen,Universal,M,Drama,1
Del Toro,Disney,F,Action,2
Buñuel,Disney,M,Horror,3
Coen,Warner,M,Drama,1
Coen,Universal,M,Action,1
Buñuel,Universal,M,Action,1
Buñuel,Disney,F,Action,3
Buñuel,Disney,M,Drama,3
Coen,Disney,F,Drama,3
Coen,Warner,F,Horror,2
Coen,Disney,M,Action,1
Buñuel,Disney,F,Drama,2
Coen,Universal,M,Horror,1
Buñuel,Universal,M,Action,3
Del Toro,Disney,F,Drama,1
Buñuel,Warner,F,Drama,2
Del Toro,Universal,F,Action,1
Del Toro,Universal,F,Horror,2
Buñuel,Warner,F,Drama,2
Coen,Warner,M,Action,3
Del Toro,Warner,M,Horror,2
Coen,Disney,M,Horror,1
Del Toro,Warner,F,Horror,1
Buñuel,Warner,M,Horror,2
Coen,Universal,M,Drama,2
Del Toro,Warner,F,Horror,3
Coen,Universal,M,Horror,2
Del Toro,Universal,F,Action,2
Del Toro,Disney,M,Action,1
Del Toro,Universal,F,Action,2
Coen,Warner,M,Drama,3
Del Toro,Disney,F,Horror,2
Coen,Universal,F,Drama,1
Buñuel,Universal,F,Action,3
Buñuel,Universal,M,Horror,2
Buñuel,Warner,M,Horror,3
Del Toro,Universal,M,Horror,1
Buñuel,Disney,M,Drama,1
Coen,Disney,M,Action,2
Buñuel,Disney,F,Drama,2
Coen,Disney,F,Horror,2
Buñuel,Universal,F,Horror,3
